,Week,Date,Ads
0,1,2018-01-01,3944
1,2,2018-01-08,5297
2,3,2018-01-15,4719
3,4,2018-01-22,5382
4,5,2018-01-29,5278
5,6,2018-02-05,5920
6,7,2018-02-12,4965
7,8,2018-02-19,5391
8,9,2018-02-26,4993
9,10,2018-03-05,5037
10,11,2018-03-12,5642
11,12,2018-03-19,6303
12,13,2018-03-26,1749
13,14,2018-04-02,4790
14,15,2018-04-09,5582
15,16,2018-04-16,5930
16,17,2018-04-23,6339
17,18,2018-04-30,4494
18,19,2018-05-07,4890
19,20,2018-05-14,4595
20,21,2018-05-21,5072
21,22,2018-05-28,5507
22,23,2018-06-04,5242
23,24,2018-06-11,5478
24,25,2018-06-18,4558
25,26,2018-06-25,4635
26,27,2018-07-02,4520
27,28,2018-07-09,3230
28,29,2018-07-16,2175
29,30,2018-07-23,1994
30,31,2018-07-30,2594
31,32,2018-08-06,4138
32,33,2018-08-13,4202
33,34,2018-08-20,4578
34,35,2018-08-27,4412
35,36,2018-09-03,4778
36,37,2018-09-10,4631
37,38,2018-09-17,4145
38,39,2018-09-24,4434
39,40,2018-10-01,4923
40,41,2018-10-08,4815
41,42,2018-10-15,3897
42,43,2018-10-22,4939
43,44,2018-10-29,4819
44,45,2018-11-05,4617
45,46,2018-11-12,4039
46,47,2018-11-19,4840
47,48,2018-11-26,4475
48,49,2018-12-03,4109
49,50,2018-12-10,5018
50,51,2018-12-17,1178
51,52,2018-12-24,0
