,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Week,Date,Ads
0,0,0,0,0,1,2018-01-01,33
1,1,1,1,1,2,2018-01-08,39
2,2,2,2,2,3,2018-01-15,41
3,3,3,3,3,4,2018-01-22,46
4,4,4,4,4,5,2018-01-29,38
5,5,5,5,5,6,2018-02-05,45
6,6,6,6,6,7,2018-02-12,59
7,7,7,7,7,8,2018-02-19,54
8,8,8,8,8,9,2018-02-26,42
9,9,9,9,9,10,2018-03-05,40
10,10,10,10,10,11,2018-03-12,59
11,11,11,11,11,12,2018-03-19,58
12,12,12,12,12,13,2018-03-26,17
13,13,13,13,13,14,2018-04-02,39
14,14,14,14,14,15,2018-04-09,36
15,15,15,15,15,16,2018-04-16,60
16,16,16,16,16,17,2018-04-23,65
17,17,17,17,17,18,2018-04-30,31
18,18,18,18,18,19,2018-05-07,26
19,19,19,19,19,20,2018-05-14,27
20,20,20,20,20,21,2018-05-21,41
21,21,21,21,21,22,2018-05-28,53
22,22,22,22,22,23,2018-06-04,37
23,23,23,23,23,24,2018-06-11,39
24,24,24,24,24,25,2018-06-18,50
25,25,25,25,25,26,2018-06-25,40
26,26,26,26,26,27,2018-07-02,67
27,27,27,27,27,28,2018-07-09,36
28,28,28,28,28,29,2018-07-16,21
29,29,29,29,29,30,2018-07-23,9
30,30,30,30,30,31,2018-07-30,12
31,31,31,31,31,32,2018-08-06,23
32,32,32,32,32,33,2018-08-13,24
33,33,33,33,33,34,2018-08-20,28
34,34,34,34,34,35,2018-08-27,33
35,35,35,35,35,36,2018-09-03,38
36,36,36,36,36,37,2018-09-10,45
37,37,37,37,37,38,2018-09-17,50
38,38,38,38,38,39,2018-09-24,51
39,39,39,39,39,40,2018-10-01,41
40,40,40,40,40,41,2018-10-08,46
41,41,41,41,41,42,2018-10-15,45
42,42,42,42,42,43,2018-10-22,55
43,43,43,43,43,44,2018-10-29,39
44,44,44,44,44,45,2018-11-05,59
45,45,45,45,45,46,2018-11-12,54
46,46,46,46,46,47,2018-11-19,46
47,47,47,47,47,48,2018-11-26,54
48,48,48,48,48,49,2018-12-03,64
49,49,49,49,49,50,2018-12-10,69
50,50,50,50,50,51,2018-12-17,17
51,51,51,51,51,52,2018-12-24,0
